"longitude","latitude","temperature","ndvi","valid_observations"
-117.32597,33.988062,123.22,0.257,3
-117.325666,33.988062,123,0.353,3
-117.325362,33.988062,122.89,0.349,3
-117.325058,33.988062,122.8,0.321,3
-117.324753,33.988062,122.78,0.296,3
-117.324449,33.988062,122.81,0.319,3
-117.324145,33.988062,122.85,0.346,3
-117.32384,33.988062,122.65,0.357,3
-117.323536,33.988062,122.38,0.386,3
-117.323232,33.988062,122.19,0.363,3
-117.322928,33.988062,122.23,0.32,3
-117.322623,33.988062,122.38,0.314,3
-117.322319,33.988062,122.45,0.322,3
-117.322015,33.988062,122.54,0.347,3
-117.321711,33.988062,122.67,0.367,3
-117.321406,33.988062,122.85,0.3,3
-117.321102,33.988062,122.96,0.265,3
-117.320798,33.988062,122.78,0.235,3
-117.320494,33.988062,122.45,0.264,3
-117.320189,33.988062,121.94,0.312,3
-117.319885,33.988062,121.44,0.303,3
-117.319581,33.988062,120.99,0.296,3
-117.319276,33.988062,120.56,0.25,3
-117.318972,33.988062,120.6,0.21,3
-117.318668,33.988062,121.15,0.191,3
-117.318364,33.988062,122.19,0.182,3
-117.318059,33.988062,123.72,0.179,3
-117.317755,33.988062,125.45,0.174,3
-117.317451,33.988062,127.01,0.171,3
-117.317147,33.988062,128.41,0.188,3
-117.316842,33.988062,129.66,0.224,3
-117.316538,33.988062,130.64,0.268,3
-117.316234,33.988062,131.25,0.22,3
-117.31593,33.988062,131.39,0.202,3
-117.315625,33.988062,131.19,0.201,3
-117.315321,33.988062,130.97,0.254,3
-117.315017,33.988062,130.16,0.256,3
-117.314712,33.988062,128.63,0.237,3
-117.314408,33.988062,127.2,0.23,3
-117.314104,33.988062,125.58,0.223,4
-117.336315,33.987758,123.74,0.25,3
-117.336011,33.987758,123.31,0.325,3
-117.335707,33.987758,122.91,0.316,3
-117.335403,33.987758,123.31,0.384,3
-117.335098,33.987758,123.63,0.342,3
-117.334794,33.987758,124.02,0.295,3
-117.33449,33.987758,124.32,0.256,3
-117.334186,33.987758,124.38,0.246,3
-117.333881,33.987758,124.82,0.261,3
-117.333577,33.987758,125.18,0.36,3
-117.333273,33.987758,125.52,0.338,3
-117.332968,33.987758,125.99,0.311,3
-117.332664,33.987758,126.57,0.287,3
-117.33236,33.987758,127.08,0.196,3
-117.332056,33.987758,127.32,0.14,3
-117.331751,33.987758,127.09,0.19,3
-117.331447,33.987758,126.34,0.236,3
-117.331143,33.987758,125.2,0.21,3
-117.330839,33.987758,123.66,0.137,3
-117.330534,33.987758,121.97,0.189,3
-117.33023,33.987758,120.24,0.306,3
-117.329926,33.987758,119.66,0.488,3
-117.329622,33.987758,118.69,0.556,3
-117.329317,33.987758,118.14,0.471,3
-117.329013,33.987758,118,0.382,3
-117.328709,33.987758,118.41,0.399,3
-117.328404,33.987758,119.1,0.486,3
-117.3281,33.987758,119.5,0.475,3
-117.327796,33.987758,119.91,0.419,3
-117.327492,33.987758,120.67,0.421,3
-117.327187,33.987758,121.63,0.379,3
-117.326883,33.987758,122.65,0.273,3
-117.326579,33.987758,123.37,0.289,3
-117.326275,33.987758,123.72,0.256,3
-117.32597,33.987758,123.89,0.283,3
-117.325666,33.987758,123.89,0.321,3
-117.325362,33.987758,123.78,0.39,3
-117.325058,33.987758,123.62,0.351,3
-117.324753,33.987758,123.07,0.284,3
-117.324449,33.987758,122.9,0.319,3
-117.324145,33.987758,122.84,0.338,3
-117.32384,33.987758,122.9,0.342,3
-117.323536,33.987758,122.84,0.339,3
-117.323232,33.987758,122.7,0.337,3
-117.322928,33.987758,122.6,0.378,3
-117.322623,33.987758,122.58,0.391,3
-117.322319,33.987758,122.64,0.337,3
-117.322015,33.987758,122.78,0.345,3
-117.321711,33.987758,123.01,0.363,3
-117.321406,33.987758,123.3,0.284,3
-117.321102,33.987758,123.47,0.267,3
-117.320798,33.987758,123.48,0.288,3
-117.320494,33.987758,123.13,0.273,3
-117.320189,33.987758,122.64,0.261,3
-117.319885,33.987758,122.03,0.263,3
-117.319581,33.987758,121.56,0.287,3
-117.319276,33.987758,121.16,0.266,3
-117.318972,33.987758,121.47,0.226,3
-117.318668,33.987758,122.19,0.194,3
-117.318364,33.987758,123.23,0.18,3
-117.318059,33.987758,124.76,0.174,3
-117.317755,33.987758,126.41,0.171,3
-117.317451,33.987758,127.84,0.177,3
-117.317147,33.987758,129.25,0.19,3
-117.316842,33.987758,130.6,0.203,3
-117.316538,33.987758,131.76,0.211,3
-117.316234,33.987758,132.43,0.224,3
-117.31593,33.987758,132.52,0.237,3
-117.315625,33.987758,132.03,0.23,3
-117.315321,33.987758,131.55,0.274,3
-117.315017,33.987758,130.16,0.239,3
-117.314712,33.987758,127.21,0.2,4
-117.314408,33.987758,125.92,0.186,4
-117.314104,33.987758,125.44,0.18,4
-117.3138,33.987758,127.33,0.171,3
-117.337837,33.987454,122.52,0.222,3
-117.337532,33.987454,122.62,0.186,3
-117.337228,33.987454,122.95,0.283,3
-117.336924,33.987454,123.36,0.36,3
-117.33662,33.987454,123.78,0.235,3
-117.336315,33.987454,124.07,0.185,3
-117.336011,33.987454,124.12,0.234,3
-117.335707,33.987454,123.86,0.197,3
-117.335403,33.987454,124,0.39,3
