"longitude","latitude","temperature","ndvi","valid_observations"
-117.231397,32.899937,93.57,0.485,4
-117.231093,32.899937,92.86,0.464,4
-117.230789,32.899937,92.42,0.464,4
-117.230485,32.899937,92.25,0.485,4
-117.230182,32.899937,92.54,0.494,4
-117.229878,32.899937,93.92,0.45,4
-117.229574,32.899937,95.6,0.349,4
-117.229271,32.899937,97.3,0.344,4
-117.228967,32.899937,98.42,0.272,4
-117.228663,32.899937,99.41,0.292,4
-117.22836,32.899937,100.26,0.28,4
-117.228056,32.899937,100.87,0.197,4
-117.227752,32.899937,101.2,0.205,4
-117.227448,32.899937,101.52,0.31,4
-117.2563,32.899633,72.42,-0.02,1
-117.252655,32.899633,87.45,0.182,1
-117.252352,32.899633,86.45,0.22,1
-117.252048,32.899633,86.62,0.329,1
-117.251744,32.899633,87.17,0.585,1
-117.251441,32.899633,88.11,0.665,1
-117.251137,32.899633,88.54,0.682,1
-117.250833,32.899633,88.41,0.725,1
-117.25053,32.899633,88.23,0.719,1
-117.250226,32.899633,88.09,0.694,1
-117.249922,32.899633,89.03,0.687,1
-117.249619,32.899633,89.86,0.671,1
-117.249315,32.899633,89.96,0.602,1
-117.249011,32.899633,90.21,0.504,1
-117.248707,32.899633,90.09,0.47,1
-117.248404,32.899633,88.91,0.51,1
-117.2481,32.899633,87.19,0.544,1
-117.247796,32.899633,85.21,0.613,1
-117.247493,32.899633,85.88,0.623,1
-117.247189,32.899633,86.81,0.723,1
-117.246885,32.899633,87.82,0.753,1
-117.246582,32.899633,88.54,0.705,1
-117.246278,32.899633,89.11,0.647,1
-117.245974,32.899633,85.36,0.613,2
-117.24567,32.899633,89.12,0.677,1
-117.245367,32.899633,90.42,0.665,1
-117.245063,32.899633,89.58,0.589,2
-117.244759,32.899633,89.58,0.556,2
-117.244456,32.899633,90.29,0.546,2
-117.244152,32.899633,91.68,0.451,2
-117.243848,32.899633,94.37,0.349,2
-117.243545,32.899633,96.68,0.294,2
-117.243241,32.899633,97.34,0.214,3
-117.242937,32.899633,97.26,0.173,3
-117.242633,32.899633,96.78,0.296,3
-117.24233,32.899633,96.43,0.455,3
-117.242026,32.899633,96.48,0.455,3
-117.241722,32.899633,96.59,0.32,4
-117.241419,32.899633,96.88,0.263,4
-117.241115,32.899633,96.91,0.17,4
-117.240811,32.899633,96.39,0.315,4
-117.240508,32.899633,95.99,0.287,4
-117.240204,32.899633,95.32,0.086,4
-117.2399,32.899633,94.28,0.048,4
-117.239596,32.899633,93.22,0.123,4
-117.239293,32.899633,92.13,0.353,4
-117.238989,32.899633,89.9,0.523,4
-117.238685,32.899633,88.42,0.588,4
-117.238382,32.899633,88.07,0.597,4
-117.238078,32.899633,89.13,0.552,4
-117.237774,32.899633,90.94,0.42,4
-117.237471,32.899633,92.51,0.228,4
-117.237167,32.899633,94.11,0.143,4
-117.236863,32.899633,95.11,0.275,4
-117.236559,32.899633,95.38,0.414,4
-117.236256,32.899633,94.94,0.413,4
-117.235952,32.899633,94.38,0.518,4
-117.235648,32.899633,94.12,0.538,4
-117.235345,32.899633,94.37,0.51,4
-117.235041,32.899633,94.65,0.437,4
-117.234737,32.899633,94.25,0.406,4
-117.234434,32.899633,94.51,0.429,4
-117.23413,32.899633,95.08,0.388,4
-117.233826,32.899633,96.2,0.319,4
-117.233522,32.899633,96.68,0.29,4
-117.233219,32.899633,96.33,0.314,4
-117.232915,32.899633,95.73,0.39,4
-117.232611,32.899633,95.19,0.42,4
-117.232308,32.899633,94.67,0.43,4
-117.232004,32.899633,94,0.459,4
-117.2317,32.899633,93.25,0.444,4
-117.231397,32.899633,92.59,0.4,4
-117.231093,32.899633,92.21,0.402,4
-117.230789,32.899633,92.65,0.454,4
-117.230485,32.899633,92.93,0.503,4
-117.230182,32.899633,93.69,0.512,4
-117.229878,32.899633,95.68,0.465,4
-117.229574,32.899633,97.49,0.423,4
-117.229271,32.899633,99.29,0.389,4
-117.228967,32.899633,100.37,0.161,4
-117.228663,32.899633,101.4,0.143,4
-117.22836,32.899633,102.26,0.139,4
-117.228056,32.899633,102.17,0.136,4
-117.227752,32.899633,101.75,0.222,4
-117.227448,32.899633,101.33,0.368,4
-117.227145,32.899633,101.1,0.391,4
-117.226841,32.899633,101.09,0.355,4
-117.226537,32.899633,100.94,0.335,4
-117.226234,32.899633,100.45,0.332,4
-117.22593,32.899633,100.32,0.367,4
-117.256604,32.89933,72.22,0.008,1
-117.2563,32.89933,72.37,-0.004,1
-117.252655,32.89933,87.24,0.215,1
-117.252352,32.89933,86.25,0.242,1
-117.252048,32.89933,86.62,0.412,1
-117.251744,32.89933,87.47,0.574,1
-117.251441,32.89933,88.35,0.664,1
-117.251137,32.89933,88.65,0.689,1
-117.250833,32.89933,88.52,0.721,1
-117.25053,32.89933,88.39,0.704,1
-117.250226,32.89933,88.26,0.69,1
-117.249922,32.89933,89.15,0.681,1
-117.249619,32.89933,89.9,0.619,1
-117.249315,32.89933,89.91,0.528,1
-117.249011,32.89933,90.03,0.469,1
-117.248707,32.89933,89.73,0.476,1
-117.248404,32.89933,88.47,0.525,1
-117.2481,32.89933,86.92,0.543,1
-117.247796,32.89933,85.21,0.61,1
-117.247493,32.89933,85.84,0.647,1
-117.247189,32.89933,86.69,0.757,1
-117.246885,32.89933,87.69,0.738,1
-117.246582,32.89933,88.44,0.675,1
-117.246278,32.89933,89.04,0.645,1
-117.245974,32.89933,85.26,0.656,2
-117.24567,32.89933,89.05,0.693,1
-117.245367,32.89933,90.26,0.689,1
-117.245063,32.89933,89.52,0.567,2
-117.244759,32.89933,89.57,0.51,2
-117.244456,32.89933,90.22,0.557,2
-117.244152,32.89933,91.65,0.498,2
-117.243848,32.89933,94.46,0.358,2
-117.243545,32.89933,96.7,0.275,2
-117.243241,32.89933,97.29,0.222,3
-117.242937,32.89933,97.37,0.181,3
-117.242633,32.89933,96.93,0.251,3
-117.24233,32.89933,96.77,0.389,3
-117.242026,32.89933,96.84,0.407,4
-117.241722,32.89933,97.04,0.319,4
-117.241419,32.89933,97.26,0.285,4
-117.241115,32.89933,97.28,0.421,4
-117.240811,32.89933,96.79,0.464,4
-117.240508,32.89933,96.44,0.387,4
-117.240204,32.89933,95.74,0.258,4
-117.2399,32.89933,94.64,0.133,4
-117.239596,32.89933,93.5,0.07,4
-117.239293,32.89933,92.37,0.185,4
-117.238989,32.89933,90.07,0.429,4
-117.238685,32.89933,88.34,0.547,4
-117.238382,32.89933,87.41,0.572,4
-117.238078,32.89933,87.75,0.57,4
-117.237774,32.89933,89.21,0.505,4
-117.237471,32.89933,90.97,0.357,4
-117.237167,32.89933,92.89,0.252,4
-117.236863,32.89933,93.87,0.379,4
-117.236559,32.89933,93.94,0.505,4
-117.236256,32.89933,93.68,0.435,4
-117.235952,32.89933,93.44,0.403,4
-117.235648,32.89933,93.26,0.484,4
-117.235345,32.89933,93.41,0.569,4
-117.235041,32.89933,93.65,0.461,4
-117.234737,32.89933,93.19,0.397,4
-117.234434,32.89933,93.39,0.376,4
-117.23413,32.89933,93.8,0.348,4
-117.233826,32.89933,94.73,0.293,4
-117.233522,32.89933,95.1,0.335,4
-117.233219,32.89933,94.63,0.483,4
-117.232915,32.89933,93.84,0.602,4
-117.232611,32.89933,93.25,0.588,4
-117.232308,32.89933,93.03,0.501,4
-117.232004,32.89933,93.02,0.407,4
-117.2317,32.89933,93.1,0.325,4
-117.231397,32.89933,93.31,0.333,4
-117.231093,32.89933,93.82,0.413,4
-117.230789,32.89933,94.93,0.431,4
-117.230485,32.89933,95.48,0.5,4
-117.230182,32.89933,96.19,0.5,4
-117.229878,32.89933,97.83,0.428,4
-117.229574,32.89933,99.26,0.439,4
-117.229271,32.89933,100.74,0.321,4
-117.228967,32.89933,101.72,0.107,4
-117.228663,32.89933,102.61,0.165,4
-117.22836,32.89933,103.26,0.231,4
-117.228056,32.89933,102.85,0.293,4
-117.227752,32.89933,101.73,0.432,4
-117.227448,32.89933,100.4,0.556,4
-117.227145,32.89933,99.62,0.517,4
-117.226841,32.89933,99.59,0.418,4
-117.226537,32.89933,99.87,0.366,4
-117.226234,32.89933,100.03,0.358,4
-117.22593,32.89933,99.78,0.36,4
-117.225626,32.89933,98.91,0.342,4
-117.225323,32.89933,98.5,0.381,4
-117.256907,32.899026,72.08,0.01,1
-117.256604,32.899026,72.19,0.011,1
-117.2563,32.899026,72.35,-0.002,1
-117.252352,32.899026,87.27,0.214,1
-117.252048,32.899026,87.99,0.34,1
-117.251744,32.899026,89.05,0.528,1
-117.251441,32.899026,89.93,0.693,1
-117.251137,32.899026,90.28,0.685,1
-117.250833,32.899026,90.35,0.707,1
-117.25053,32.899026,90.32,0.688,1
-117.250226,32.899026,90.18,0.69,1
-117.249922,32.899026,90.28,0.717,1
-117.249619,32.899026,90.34,0.632,1
-117.249315,32.899026,90.21,0.518,1
-117.249011,32.899026,89.62,0.481,1
-117.248707,32.899026,88.39,0.483,1
-117.248404,32.899026,87.32,0.505,1
-117.2481,32.899026,86.37,0.459,1
-117.247796,32.899026,85.63,0.52,1
-117.247493,32.899026,85.87,0.666,1
-117.247189,32.899026,86.51,0.739,1
-117.246885,32.899026,87.3,0.731,1
-117.246582,32.899026,88.14,0.661,1
